Name,Location,Ranking,ProgramDetails,TuitionFees
"California State University, Fresno",USA,Regional university,Business Administration,"High school diploma, TOEFL 80","$6,000 per semester",Minimum GPA 2.0,6.5
"California State University, Fresno",USA,Regional university,Nursing,"High school diploma, Biology background, IELTS 6.5","$7,500 per semester",Minimum GPA 3.0,6.5
University of Technology Sydney,Australia,Mid-range university,Civil Engineering,"High school diploma, Mathematics background, IELTS 6.0","$10,000 per semester",Minimum GPA 2.5,6.0
University of Technology Sydney,Australia,Mid-range university,Information Technology,"High school diploma, Basic programming knowledge, IELTS 6.5","$9,500 per semester",Minimum GPA 2.0,6.5
University of Bedfordshire,United Kingdom,Not in top rankings,BSc in Computer Science,"High school diploma, Mathematics background","$14,000 per year",AAA at A-Level or equivalent,6.0 overall with no band less than 5.5
University of Bedfordshire,United Kingdom,Not in top rankings,BA in Business Management,High school diploma,"$13,500 per year",ABB at A-Level or equivalent,6.0 overall with no band less than 5.5
University of Bedfordshire,United Kingdom,Not in top rankings,MSc in Marketing,Bachelor's degree in related field,"$15,500 per year",2:1 or equivalent,6.5 overall with no band less than 6.0
Indian Institute of Technology Guwahati,India,Not in top rankings,B.Tech in Civil Engineering,"12th Grade with Physics, Chemistry, Mathematics","INR 2,00,000 per year",75% in 12th Grade,Not required
Indian Institute of Technology Guwahati,India,Not in top rankings,M.Tech in Biotechnology,Bachelor's degree in related field,"INR 1,80,000 per year",60% in Bachelor's degree,6.5 overall with no band less than 6.0
Indian Institute of Technology Guwahati,India,Not in top rankings,Ph.D. in Computer Science,Master's degree in related field,"INR 30,000 per year",55% in Master's degree,7.0 overall with no band less than 6.5
University of South Wales,United Kingdom,Not in the top rankings,Business Management,"High school diploma, minimum 65% average, IELTS 6.0","$13,000 per year",Minimum 65%,6.0
University of South Wales,United Kingdom,Not in the top rankings,Computer Science,"High school diploma, minimum 70% average in Math and Science subjects, IELTS 6.5","$14,500 per year",Minimum 70% in Math and Science,6.5
University of South Wales,United Kingdom,Not in the top rankings,Psychology,"High school diploma, minimum 60% average, IELTS 6.0","$12,500 per year",Minimum 60%,6.0
University of New South Wales,Australia,Not in the top rankings,Civil Engineering,"High school diploma, minimum 75% average in Math and Science subjects, IELTS 6.5","$18,000 per year",Minimum 75% in Math and Science,6.5
University of New South Wales,Australia,Not in the top rankings,Media Studies,"High school diploma, minimum 65% average, IELTS 6.0","$16,500 per year",Minimum 65%,6.0
University of New South Wales,Australia,Not in the top rankings,Hospitality Management,"High school diploma, minimum 60% average, IELTS 6.0","$15,500 per year",Minimum 60%,6.0
Munich Business School,"Munich, Germany",Not in top rankings,Bachelor in International Business,"High school diploma, letter of motivation, CV, IELTS 6.5","$13,000 per year",Minimum GPA of 3.0,6.5
Munich Business School,"Munich, Germany",Not in top rankings,Master in Management,"Bachelor's degree, GMAT/GRE, CV, letter of motivation, IELTS 6.5","$17,000 per year",Minimum GPA of 3.0,6.5
University of North Florida,"Jacksonville, Florida, USA",Not in top rankings,Bachelor in Psychology,"High school diploma, SAT/ACT, personal statement, IELTS 6.0","$6,300 per semester",Minimum GPA of 2.5,6.0
University of North Florida,"Jacksonville, Florida, USA",Not in top rankings,Master in Public Administration,"Bachelor's degree, GRE, letters of recommendation, resume, IELTS 6.5","$7,200 per semester",Minimum GPA of 3.0,6.5
University of Canberra,"Canberra, Australia",Not in top rankings,Bachelor of Information Technology,"High school diploma, IELTS 6.0","$25,000 per year",Minimum GPA of 2.5,6.0
University of Canberra,"Canberra, Australia",Not in top rankings,Master of Business Administration,"Bachelor's degree, work experience, IELTS 6.5","$30,000 per year",Minimum GPA of 3.0,6.5
University of Gloucestershire,"Cheltenham, UK",Not in top rankings,BA (Hons) Fashion Design,"High school diploma, portfolio, IELTS 6.0","£12,500 per year",Minimum GPA of 2.5,6.0
University of Gloucestershire,"Cheltenham, UK",Not in top rankings,MSc Cyber Security,"Bachelor's degree, relevant background, IELTS 6.5","£14,000 per year",Minimum GPA of 3.0,6.5
University of Winnipeg,"Winnipeg, Canada",Not in top rankings,Bachelor of Business Administration,"High school diploma, personal statement, IELTS 6.0","$14,000 per year",Minimum GPA of 2.5,6.0
University of Winnipeg,"Winnipeg, Canada",Not in top rankings,Master of Arts in Criminal Justice,"Bachelor's degree, letters of recommendation, IELTS 6.5","$12,500 per year",Minimum GPA of 3.0,6.5
Christ University,"Bangalore, India",Not in top rankings,BBA (Bachelor of Business Administration),"High school diploma, entrance exam, personal interview, IELTS 6.0","₹1,25,000 per year",Minimum 60%,6.0
Christ University,"Bangalore, India",Not in top rankings,MSc Psychology,"Bachelor's degree, entrance test, personal interview, IELTS 6.5","₹1,50,000 per year",Minimum 60%,6.5
University of Guelph,Canada,Not in the top rankings,Bachelor of Arts in Psychology,"High school diploma, minimum 80% average, IELTS 6.5","$17,000 - $21,000 CAD per year",80% average,6.5
University of Guelph,Canada,Not in the top rankings,Bachelor of Science in Computer Science,"High school diploma, minimum 75% average, IELTS 6.0","$20,000 - $24,000 CAD per year",75% average,6.0
University of North Carolina at Greensboro,USA,Not in the top rankings,Bachelor of Fine Arts in Dance,"High school diploma, audition required, IELTS 6.0","$7,000 - $10,000 per semester",Audition required,6.0
University of North Carolina at Greensboro,USA,Not in the top rankings,Bachelor of Science in Nutrition,"High school diploma, minimum 2.5 GPA, IELTS 6.5","$8,000 - $12,000 per semester",2.5 GPA,6.5
University of Bedford,United Kingdom,Not ranked,Bachelor of Arts in History,"Minimum of 2 A-levels with grades AAB or equivalent, IELTS 6.5","$12,000 per year",AAB,6.5
University of Bedford,United Kingdom,Not ranked,Master of Science in Psychology,"Bachelor's degree in Psychology with a minimum of 2:1, IELTS 7.0","$15,000 per year",2:1,7.0
University of Bedford,United Kingdom,Not ranked,Bachelor of Science in Computer Science,"Minimum of 3 A-levels with grades BBB or equivalent, IELTS 6.0","$13,500 per year",BBB,6.0
Berlin School of Economics and Law,Germany,Not ranked,Bachelor of Business Administration,"German Abitur with a minimum grade of 2.0, IELTS 6.5","€6,000 per year",2.0,6.5
Berlin School of Economics and Law,Germany,Not ranked,Master of International Business,"Bachelor's degree with GPA of 2.5 or higher, IELTS 6.5","€8,000 per year",2.5,6.5
Berlin School of Economics and Law,Germany,Not ranked,Bachelor of Laws,"German Abitur with a minimum grade of 1.5, IELTS 7.0","€7,500 per year",1.5,7.0
University of Western Sydney Bankstown Campus,Australia,Not ranked,Bachelor of Nursing,"High School Diploma with average of 70%, IELTS 7.0","$18,000 per year",70%,7.0
University of Western Sydney Bankstown Campus,Australia,Not ranked,Master of Education,"Bachelor's degree with GPA of 2.5 or higher, IELTS 6.5","$16,500 per year",2.5,6.5
University of Western Sydney Bankstown Campus,Australia,Not ranked,Bachelor of Business Administration,"High School Diploma with average of 75%, IELTS 6.0","$17,500 per year",75%,6.0
University of Leipzig,Germany,Not in top rankings,Bachelor in Economics,"High school diploma, German language proficiency","$3,000 per year",Minimum GPA of 2.5,6.0
University of Leipzig,Germany,Not in top rankings,Master in International Relations,"Bachelor's degree, English language proficiency","$4,500 per year",Minimum GPA of 3.0,6.5
University of Central Florida,USA,Not in top rankings,Bachelor in Environmental Science,"High school diploma, SAT/ACT scores","$6,000 per semester",Minimum GPA of 2.0,6.5
University of Central Florida,USA,Not in top rankings,Master in Public Administration,"Bachelor's degree, GRE scores","$8,000 per semester",Minimum GPA of 3.0,7.0
University of Hull,UK,Not in top rankings,Bachelor in Criminology,"High school diploma, personal statement","£9,000 per year",Minimum GPA of 2.5,6.0
University of Hull,UK,Not in top rankings,Master in Marketing,"Bachelor's degree, reference letters","£11,000 per year",Minimum GPA of 3.0,6.5
University of Bologna,Italy,601-800,Bachelor of Economics,"High School Diploma, GPA 7.0/10, IELTS 6.5","$3,000 per year",7.0/10,6.5
University of Bologna,Italy,601-800,Master of Computer Science,"Bachelor's degree, GPA 7.5/10, IELTS 7.0","$4,500 per year",7.5/10,7.0
University of Bologna,Italy,601-800,Ph.D. in Physics,"Master's degree, research proposal, IELTS 7.5","$2,500 per year",NA,7.5
University of Essex,United Kingdom,301-350,Bachelor of Sociology,"High School Diploma, GPA 6.5/10, IELTS 6.0","£9,250 per year",6.5/10,6.0
University of Essex,United Kingdom,301-350,Master of Marketing,"Bachelor's degree, GPA 7.0/10, IELTS 6.5","£15,900 per year",7.0/10,6.5
University of Essex,United Kingdom,301-350,Ph.D. in Economics,"Master's degree, research experience, IELTS 7.0","£13,000 per year",NA,7.0
University of Bradford,United Kingdom,601-800 (THE World University Rankings),BSc Computer Science,"A-levels: BBB, IELTS: 6.0","£14,500 per year",BBB,6.0
University of Bradford,United Kingdom,601-800 (THE World University Rankings),BA Business and Management,"A-levels: BBC, IELTS: 6.0","£14,500 per year",BBC,6.0
University of Bradford,United Kingdom,601-800 (THE World University Rankings),MSc Marketing Management,"Bachelor's degree with 2:2, IELTS: 6.0","£15,500 per year",2:2,6.0
University of Bradford,United Kingdom,601-800 (THE World University Rankings),BEng Civil and Structural Engineering,"A-levels: BBB, IELTS: 6.0","£14,500 per year",BBB,6.0
University of Bradford,United Kingdom,601-800 (THE World University Rankings),MA International Development Management,"Bachelor's degree with 2:1, IELTS: 6.5","£15,500 per year",2:1,6.5
University of Wollongong Dubai,United Arab Emirates,Not ranked,Bachelor of Commerce,"High School Diploma with minimum 60%, IELTS: 6.0","AED 96,900 per year",60%,6.0
University of Wollongong Dubai,United Arab Emirates,Not ranked,Master of Engineering Management,"Bachelor's degree with GPA 2.5, IELTS: 6.5","AED 96,900 per year",GPA 2.5,6.5
University of Wollongong Dubai,United Arab Emirates,Not ranked,Bachelor of Computer Science,"High School Diploma with minimum 60%, IELTS: 6.0","AED 96,900 per year",60%,6.0
University of Wollongong Dubai,United Arab Emirates,Not ranked,Master of Business Administration,"Bachelor's degree with GPA 2.5, IELTS: 6.5","AED 96,900 per year",GPA 2.5,6.5
University of Wollongong Dubai,United Arab Emirates,Not ranked,Bachelor of Engineering (Civil),"High School Diploma with minimum 60%, IELTS: 6.0","AED 96,900 per year",60%,6.0
University of Hohenheim,Germany,Not in top rankings,Bachelor of Business Administration,"High school diploma, German Abitur or equivalent, IELTS 6.5","$1,500 per semester",Minimum GPA 2.5,6.5
University of Hohenheim,Germany,Not in top rankings,Master of Agricultural Sciences,"Bachelor's degree in related field, IELTS 6.5","$2,000 per semester",Minimum GPA 2.7,6.5
University of Hohenheim,Germany,Not in top rankings,PhD in Economics,"Master's degree in Economics, IELTS 7.0",No tuition fees for PhD students,Minimum GPA 3.0,7.0
University of Ulm,Germany,Not in the top rankings,Computer Science,"Bachelor's degree in a related field, minimum GPA of 2.5, IELTS 6.0","$3,000 per semester",GPA 2.5,6.0
University of Ulm,Germany,Not in the top rankings,Business Administration,"Bachelor's degree, minimum GPA of 2.7, IELTS 6.5","$3,200 per semester",GPA 2.7,6.5
University of Applied Sciences and Arts Northwestern Switzerland,Switzerland,Not available,Bachelor of Science in Computer Science,"High school diploma, Mathematics background, Basic programming skills","$1,500 per semester",Minimum GPA of 2.5,Overall band score of 6.0
University of Applied Sciences and Arts Northwestern Switzerland,Switzerland,Not available,Master of Science in Life Sciences,"Bachelor's degree in a related field, CV, Letter of motivation","$2,000 per semester",Minimum GPA of 3.0,Overall band score of 6.5
University of Göttingen,Germany,Not available,Bachelor of Arts in History,"High school diploma, Letter of recommendation, Statement of purpose",€500 per semester,Minimum GPA of 2.0,Overall band score of 6.0
University of Göttingen,Germany,Not available,Master of Science in Physics,"Bachelor's degree in Physics or related field, GRE scores, Research proposal",€800 per semester,Minimum GPA of 3.0,Overall band score of 6.5
"University of Newcastle, Australia",Australia,Not available,Bachelor of Engineering (Civil),"High school diploma, Mathematics and Physics background, Personal statement","$8,000 per semester",Minimum GPA of 2.5,Overall band score of 6.0
"University of Newcastle, Australia",Australia,Not available,Master of Business Administration,"Bachelor's degree, Work experience, Letter of recommendation","$10,000 per semester",Minimum GPA of 3.0,Overall band score of 6.5
